Gene	sgRNA	eff
HBG1	ID_8211	1
CUZD1	ID_37280	1
CUZD1	ID_37282	1
CUZD1	ID_37281	1
CUZD1	ID_37279	1
LXN	ID_44599	1
LXN	ID_44602	1
LXN	ID_44601	1
LXN	ID_44600	1
PABPN1L	ID_71846	1
PABPN1L	ID_71847	1
PABPN1L	ID_71848	1
PABPN1L	ID_71845	1
HACD1	ID_24157	1
HACD1	ID_24160	1
HACD1	ID_24158	1
HACD1	ID_24159	1
ZNF816	ID_58954	1
ZNF816	ID_58953	1
ZNF816	ID_58955	1
ZNF816	ID_58956	1
SPRR4	ID_63718	1
SPRR4	ID_63719	1
SPRR4	ID_63720	1
SPRR4	ID_63717	1
MAOB	ID_11099	1
MAOB	ID_11097	1
MAOB	ID_11098	1
MAOB	ID_11100	1
NHLH2	ID_12597	1
NHLH2	ID_12598	1
NHLH2	ID_12599	1
NHLH2	ID_12600	1
