id,smiles
70117,S(=O)(=O)(Nc1c[nH]nc1)c1c(C)cc(C#N)cc1
70118,O=[N+]([O-])c1c(Nc2cn(C[C@H]3OCCC3)nc2)ccc(C#N)c1
70119,FC(F)(F)[C@H]1C[C@H](NC(=O)NCc2c(C)nc(C)s2)CCC1
70120,S(=O)([O-])(=Nc1c(NC(=O)C[C@H]2c3c(cccc3)CC2)cccc1)C
70121,O(CCN1C(=O)NCC1=O)c1cc2OC(=O)C=C(CCC)c2cc1
70122,O=C(NCc1cc(C(=O)NCc2occc2)ccc1)Cn1nnnc1
70123,S(=O)(=O)(Nc1c(C(=O)NCc2cnccc2)cc(C)cc1)C
70124,FC(F)(F)C=1C=C(NC(=O)Cc2cc(OC)ccc2)C(=O)NC=1
70125,O=C(Nc1cc(OC)ccc1)CN1C(=O)N(CC)C=C(C#N)C1=O
70126,S=C1N(CC)C(=O)/C(=C/c2ccc(NC(=O)C(F)(F)F)cc2)/S1
70127,FC(F)(F)c1cc([N+](=O)[O-])c(NNC(=O)c2nccnc2)cc1
70128,O=C([O-])CN1C(=O)[C@H]2[C@H](C1=O)C1[C@@H]3C(=O)N(CC(=O)[O-])C(=O)[C@H]3C2C=C1
70129,S(CC(=O)N)c1n2c(C(=O)N(c3ccc(F)cc3)C=C2)nn1
70130,S(CC(=O)N)c1n2c(C(=O)N(c3ccccc3)C=C2)nn1
70131,Fc1ccc(C(=O)Nc2scc(CCC(=O)NCCc3ccccc3)n2)cc1
70132,Clc1c(CN2C[C@@H](O)CN(C(=O)CCC(=O)[O-])CC2)[nH]nc1C
70133,O=C([O-])c1cc([C@H]2CN(/C(/[O-])=C\3/C(=O)n4nc(C)cc4N=C/3)CCC2)ccc1
70134,O=C(CCn1ncnc1)N1Cc2c(-c3c4c(ccc3)cccc4)n[nH]c2CC1
70135,S(=O)(=O)(NCCc1nc[nH]c1)c1cc(C(=O)N[C@H]2COCC2)ccc1
70136,O=C([O-])[C@@H](N(CC(=O)[O-])C)c1c2c([nH]c1)cc(NC(=O)CCC(=O)[O-])cc2
70137,O=C([O-])[C@H](N/C=C/1\C(=O)N(c2ccccc2)C(=O)[N-]C\1=O)CCC(=O)[O-]
70138,Fc1ccc(-c2n(c(CCC(=O)[O-])cc2)-c2cc(C(=O)[O-])ccc2)cc1
70139,O=C1Nc2nc(N)nc([O-])c2[C@@H](c2ccc(O)cc2)C1
70140,Fc1c(F)ccc([C@@H](CC(=O)N)c2c([O-])[nH]nc2Cc2ccccc2)c1
70141,S(=O)(=O)(N[C@H](CC(=O)[O-])c1ccc(OCC)cc1)c1ccc(C(=O)[O-])cc1
70142,O=C([O-])c1ccc(C(=O)c2cc3C(=O)N([C@H](C)c4ccccc4)C(=O)c3cc2)cc1
70143,O=C([O-])CC(CC(=O)[O-])CCc1ccc(C(C)(C)C)cc1
70144,Clc1c(S(=O)([O-])=Nc2c(C)cccc2)cc(C(=O)N)cc1
70145,O=C(N)C[C@@H](c1c([O-])[nH]nc1C)c1c2c(c(OC)cc1)cccc2
70146,S(CC(=O)Nc1ccc(C23CC4CC(C2)CC(C3)C4)cc1)CCO
70147,O=C(N)C[C@H](c1c([O-])[nH]nc1C)C=1C(=O)c2c(OC=1)cccc2
70148,S(CC(=O)N)c1nc(N)c2c(sc3c2CC(C)(C)OC3)n1
70149,O=C([O-])[C@@H]1[C@@H](N(C(C)C)C(=O)c2c1cccc2)c1ccccc1
70150,S(CC(=O)N)c1n(C)c(-c2ccc(C(C)C)cc2)nn1
70151,Clc1c(C2=NN(CC(=O)NCC(=O)NCC(=O)[O-])C(=O)C=C2)cccc1
70152,Fc1cc(F)cc(CNC(=O)CCN2C(=O)C=CC(c3ccc(CC)cc3)=N2)c1
70153,P(=O)([O-])([O-])[C@@H](Nc1cc2NC(=O)COc2cc1)c1cc(C#N)ccc1
70154,O=C(N)[C@H]1CN(c2ccc(CNC(=O)c3c(O)cccc3)cc2)CCC1
70155,S(=O)(=O)(Nc1cc(C)c(C(=O)[O-])cc1)c1cc(C(=O)[O-])c(F)c(C)c1
70156,S(=O)(=O)(N(C[C@@H](O)C)c1ccccc1)c1c2c(cc(C(=O)[O-])c1)CCC2
70157,S(CC(=O)N)c1nc(-c2ccc(CC)cc2)[nH]n1
70158,S(=O)([O-])(=Nc1c2c([nH]cc2)ccc1)c1cc2n[nH]nc2cc1
70159,S(=O)([O-])(=Nc1c(OC)ccc(NC(=O)C)c1)c1ccc(CCC(=O)[O-])cc1
70160,O=C([O-])C[C@@H](NC(=O)Cc1[nH]nc2c1cccc2)c1c(C)cccc1
70161,Fc1c(CC(=O)Nc2cc(CN3C(=O)NCC3=O)ccc2)cccc1
70162,S(=O)([O-])(=Nc1c(C)cc(F)cc1)c1scc(C(=O)[O-])c1
70163,S(=O)([O-])(=Nc1c(Nc2ccc(C)cc2)cccc1)c1ccc(C(=O)[O-])cc1
70164,S(=O)(=O)(C)c1cc(C(=O)Nc2ccc(CN3C(=O)CCC3=O)cc2)ccc1
70165,O=C(NCc1ccc(C(=O)N2C[C@@H](CCC(=O)[O-])CCC2)cc1)N
70166,O=C([O-])CC[C@H]1N(C(=O)c2cc(C)c(-n3ncnc3)cc2)CCCC1
70167,S(=O)([O-])(=NC(=O)C)c1ccc(NC(=O)CC2(CC(=O)[O-])CCCCC2)cc1
70168,Fc1c([C@@H](O)CNC(=O)CN2C(=O)N3C(=N2)C=CC=C3)cccc1
70169,S(=O)([O-])(=Nc1c(C)ccc(C(F)(F)F)c1)c1scc(C(=O)[O-])c1
