SMILES,NAME,FILTER,MW,LogP,HBD,HBA,TPSA,Rot
FC(F)Oc1ccc(cc1)[C@H]4n2nnnc2N[C@@H](c3ccc(cc3)C)C4,ZINC15866274,OK,357.36400000000015,3.7292200000000015,1,6,64.86,4.0
O=c1n([nH]c2nccc(c12)c4cc3OCOc3cc4)c5cc(ccc5)C,ZINC10157178,OK,345.35800000000006,3.4179200000000014,1,5,69.14,2.0
O(c4ccc(c3nc1n(ncn1)c(NCC2CCCCC2)c3)cc4)C,ZINC01351334,OK,337.4270000000001,3.792100000000003,1,6,64.34,5.0
O=c1n([nH]c2nccc(c12)c3cc(OC)c(OC)cc3)c4cc(c(cc4)C)C,ZINC10157183,OK,375.4280000000001,4.014840000000003,1,5,69.14,4.0
Clc1sc(Cl)cc1C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,ZINC09707669,OK,418.28300000000013,3.7607000000000026,1,7,102.16,4.0
Brc1cc(c(Cl)cc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,ZINC36693294,Filter9_metal > 0,456.7050000000002,3.8083000000000027,1,6,102.16,4.0
Clc1c(ccc(Cl)c1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,ZINC09346746,OK,412.25400000000013,3.699200000000003,1,6,102.16,4.0
Clc1c(cc(Cl)cc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,ZINC09346755,OK,412.25400000000013,3.699200000000003,1,6,102.16,4.0
Clc1c(cccc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,ZINC05240586,OK,377.8090000000001,3.0458,1,6,102.16,4.0
FC(F)Oc1ccc(cc1)[C@H]4n2nnnc2N[C@@H](c3ccccc3)C4,ZINC06941524,OK,343.3370000000001,3.4208000000000007,1,6,64.86,4.0
Brc1ccc(cc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C(C)C)cc3,ZINC09813792,Filter9_metal > 0,450.31400000000014,3.9335000000000013,1,6,102.16,5.0
S(=O)(=O)(c4ccc(c1oc(nn1)NC(=O)c3ccc(c2ccccc2)cc3)cc4)CC,ZINC36693858,OK,433.48900000000015,4.449500000000003,1,6,102.16,6.0
S(=O)(=O)(c4ccc(c1oc(nn1)NC(=O)Cc3cc2OCOc2cc3)cc4)C,ZINC36693719,OK,401.40000000000015,2.05,1,8,120.62,5.0
S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(N(C)C)cc2)cc3)CC,ZINC36693926,OK,400.46000000000015,2.8485000000000014,1,7,105.39999999999999,6.0
S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(N(C)C)cc2)cc3)C,ZINC05203554,OK,386.4330000000001,2.4584,1,7,105.39999999999999,5.0
S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(cc2)C)cc3)C(C)C,ZINC09813729,OK,385.4450000000001,3.479420000000003,1,6,102.16,5.0
FC(F)Oc1ccc(cc1)[C@H]4n2nnnc2N[C@@H](c3ccc(OC)cc3)C4,ZINC02918170,OK,373.36300000000017,3.429400000000001,1,7,74.09,5.0
O=C(O)c3ccc(c2c1c([nH]cc1)nc(NCCOC)c2)cc3,ZINC72145495,OK,311.34100000000007,2.9864000000000015,3,4,87.24,6.0
s1c(ccc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C(C)C)cc3,ZINC09813828,OK,377.4470000000001,3.2325000000000017,1,7,102.16,5.0
n1c(nc(nc1N)\C(\C#N)=C\c2cc(ccc2)C#N)Nc3ccccc3,ZINC12641430,OK,339.362,3.133260000000001,2,7,124.29999999999998,4.0
S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2c(cccc2)C)cc3)CC,ZINC36693913,OK,371.41800000000006,3.0909200000000014,1,6,102.16,5.0
S(=O)(=O)(c4ccc(c1oc(nn1)NC(=O)Cc3ccc(c2ccccc2)cc3)cc4)C,ZINC36693433,OK,433.4890000000001,3.9883000000000033,1,6,102.16,6.0
S(=O)(=O)(N(C)C)c2ccc(c1oc(nn1)NC(=O)C(C)(C)C)cc2,ZINC36693509,OK,352.4160000000001,1.9714999999999996,1,6,105.4,4.0
S(c2cc(N(=O)O)cc(NC(=O)c1ccc(F)cc1)c2)C[C@@H](O)CO,ZINC01088725,INVALID,-999.0,-999.0,-999,-999,-999.0,
o1c(nnc1c3cc2OCCOc2cc3)NC(=O)Nc4ccccc4,ZINC42381207,OK,338.323,3.1518000000000006,2,6,98.51000000000002,3.0
Clc1c(ccc(Cl)c1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)CC)cc3,ZINC36693866,OK,426.2810000000002,4.089300000000003,1,6,102.16,5.0
Clc1c(cccc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)CC)cc3,ZINC36693853,OK,391.8360000000001,3.4359,1,6,102.16,5.0
O([C@@H](c3ccc(c1nc(nc(n1)N)Nc2ccc(cc2)C)cc3)C)C,ZINC32541042,OK,335.41100000000006,3.880220000000003,2,6,85.95,5.0
O([C@@H](c3ccc(c1nc(nc(n1)N)Nc2ccc(cc2)C)cc3)C)C,ZINC32541042,OK,335.41100000000006,3.880220000000003,2,6,85.95,5.0
FC(F)Oc1ccc(cc1)[C@H]4n2nnnc2N[C@@H](c3ccccc3)C4,ZINC06941524,OK,343.3370000000001,3.4208000000000007,1,6,64.86,4.0
S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)Cc2c(cc(cc2)C)C)cc3)C,ZINC36693619,OK,385.4450000000001,2.9381400000000015,1,6,102.16,5.0
Fc4c(OC)ccc(c3c1c([nH]cc1)nc(NCc2ccncc2)c3)c4,ZINC72433095,OK,348.38100000000003,4.384700000000002,2,4,62.83,5.0
O(c1ccc(cc1)CNc3nc2n(ncc2c(n3)NCCCO)C)C,ZINC20744634,OK,342.4030000000002,1.7782999999999998,3,8,97.12,8.0
O(c1cc(OC)cc(c1)\C=C(\c2nc(nc(n2)N)Nc3ccccc3)/C#N)C,ZINC11296745,OK,374.4040000000001,3.278780000000001,2,8,118.97,6.0
Clc1ccc(cc1)[C@@H]6Nc2n(nc(n2)N3C(=O)[C@@H]4[C@H](C3=O)CC=CC4)[C@H](c5ccc(OC)cc5)C6,ZINC09292003,Filter78_bicyclic_Imide > 0,489.9630000000003,4.5420000000000025,1,7,89.35000000000001,4.0
Clc1ccc(cc1)[C@@H]6Nc2n(nc(n2)N3C(=O)[C@@H]4[C@H](C3=O)CC=CC4)[C@H](c5ccc(OC)cc5)C6,ZINC09292003,Filter78_bicyclic_Imide > 0,489.9630000000003,4.5420000000000025,1,7,89.35000000000001,4.0
Clc1ccc(cc1)C5N=C2N(NC(=N2)NC(=O)c3sccc3)[C@@H](c4ccc(OC)cc4)C=5,ZINC03647854,Filter20_hydrazine > 0,463.95000000000016,4.468100000000002,2,7,78.32000000000001,4.0
Clc1ccc(cc1)C5N=C2N(NC(=N2)NC(=O)c3sccc3)[C@@H](c4ccc(OC)cc4)C=5,ZINC03647854,Filter20_hydrazine > 0,463.95000000000016,4.468100000000002,2,7,78.32000000000001,4.0
O(c1c(OC)ccc(c1)\C=C(\c2nc(nc(n2)N)Nc3ccccc3)/C#N)C,ZINC11296413,OK,374.4040000000001,3.278780000000001,2,8,118.97,6.0
Clc1c(cc(N(=O)O)cc1)\C=C(\c2nc(nc(n2)N)Nc3ccccc3)/C#N,ZINC11296714,INVALID,-999.0,-999.0,-999,-999,-999.0,
S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)Cc2ccccc2)cc3)C,ZINC05240654,OK,357.391,2.3213,1,6,102.16,5.0
FC(F)Oc1c(OC)cc(cc1)\C=C(\c2nc(nc(n2)N)Nc3ccccc3)/C#N,ZINC22135224,OK,410.3840000000001,3.8715800000000007,2,8,118.97,7.0
S(c2nn(c1nc(OC)nc(n1)NCC)cn2)CC(=O)OCC,ZINC20899571,OK,339.3810000000002,0.5478999999999998,1,11,116.94000000000001,8.0
Clc3ccc(OC(C(=O)Nc1oc(nn1)c2ccc(S(=O)(=O)C)cc2)(C)C)cc3,ZINC36693207,OK,435.8890000000002,3.5896000000000026,1,7,111.38999999999999,6.0
Clc3ccc(OC(C(=O)Nc1oc(nn1)c2ccc(S(=O)(=O)N(C)C)cc2)(C)C)cc3,ZINC36693210,OK,464.9310000000002,3.4364000000000026,1,7,114.62999999999998,7.0
Clc1c(c(F)ccc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)CC)cc3,ZINC36674889,OK,409.82600000000014,3.575000000000001,1,6,102.16,5.0
o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4N(=O)O,ZINC11847565,INVALID,-999.0,-999.0,-999,-999,-999.0,
S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2c(cc(cc2)C)C)cc3)CC,ZINC36693943,OK,385.4450000000001,3.3993400000000022,1,6,102.16,5.0
S(=O)(=O)(c4ccc(c1oc(nn1)NC(=O)c2c3c(ccc2)cccc3)cc4)CC,ZINC36693919,OK,407.4510000000001,3.9357000000000024,1,6,102.16,5.0
o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4N(=O)O,ZINC11847565,INVALID,-999.0,-999.0,-999,-999,-999.0,
o1nc4c(n1)c(NCc3cc2OCOc2cc3)cc(NCCCO)c4N(=O)O,ZINC11847565,INVALID,-999.0,-999.0,-999,-999,-999.0,
O(c1cc(OC)cc(c1)\C=C(\c2nc(nc(n2)N)Nc3ccccc3)/C#N)C,ZINC11296745,OK,374.4040000000001,3.278780000000001,2,8,118.97,6.0
Clc1c(ccc(F)c1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)CC)cc3,ZINC36694054,OK,409.82600000000014,3.575000000000001,1,6,102.16,5.0
s2c(c1nc(ncc1)NCC)ccc2C#N,ZINC87203429,OK,230.296,2.5085800000000003,1,5,61.6,3.0
Clc3ccc(c2nc(nc(c1ccc(OC)cc1)c2)NC(=O)C(C)C)cc3,ZINC21792808,OK,381.86300000000006,5.0671000000000035,1,4,64.11000000000001,5.0
O(c3ccc(c2nc(nc(c1ccc(cc1)C)c2)NC(=O)C(C)C)cc3)C,ZINC21792796,OK,361.44500000000016,4.722120000000004,1,4,64.11000000000001,5.0
O(c3ccc(c2nc(nc(c1ccccc1)c2)NC(=O)C(C)C)cc3)C,ZINC21792772,OK,347.4180000000002,4.413700000000003,1,4,64.11000000000001,5.0
Clc1ccc(cc1)\C=C\C(=O)Nc2nn4c(n2)N[C@@H](c3ccccc3)C[C@H]4c5ccc(OC)cc5,ZINC02367379,OK,485.9750000000002,5.738300000000004,2,6,81.07000000000001,6.0
