Name,Smiles,Unaligned Pharm. Score,CNNaffinity,CNNaffinity_variance,rmsd,Binding Affinity Score,CNNscore,CNN_VS,Pharm. Score,minimizedAffinity
ZINC08342215,O=N(O)c3ccc(OCc1nc(nc(n1)N)Nc2ccccc2)cc3,-1.0,6.574668,0.041477986,1.1161294,-11.98,0.98230493,6.4583287,85.51,-7.8766
ZINC07371150,S(c1ncnc2c1cccc2)Cc3nc(nc(n3)N)Nc4ccccc4,-1.0,7.1427765,0.107235864,1.2356972,-17.14,0.9767772,6.976901,85.46,-9.04149
ZINC09096621,S(c1n(nnn1)C)Cc2nc(nc(n2)N)Nc3cc(OC)ccc3,-1.0,6.8573275,0.08258494,1.0832553,8.47,0.96851516,6.6414256,85.46,-8.03112
ZINC09096621,S(c1n(nnn1)C)Cc2nc(nc(n2)N)Nc3cc(OC)ccc3,65.82,6.9195466,0.10526614,1.0543623,5.54,0.97970533,6.7791166,85.46,-7.94178
ZINC15838191,Fc1c(cccc1)C(=O)Nc3nc(c2ccc(OC)cc2)cc(n3)c4ccc(cc4)C,76.04,6.63254,0.20160702,0.9692619,-29.27,0.45790258,3.0370574,85.37,-6.86704
ZINC07290045,S(c1oc(nn1)C2CC2)Cc3nc(nc(n3)N)Nc4ccccc4,65.71,6.9409347,0.12429502,1.0553752,-6.3,0.9664438,6.708023,85.37,-7.6138
ZINC07290045,S(c1oc(nn1)C2CC2)Cc3nc(nc(n3)N)Nc4ccccc4,-1.0,6.6840353,0.10821233,1.0555706,-5.31,0.9266895,6.1940255,85.37,-7.99635
ZINC67009520,Clc3c(OCc1nc(nc(n1)N)Nc2ccc(F)cc2)ccc(c3)C=O,-1.0,6.774498,0.12087742,1.2628915,-18.42,0.9515136,6.446027,85.28,-8.336
ZINC72481077,O(c3c(cc(c1nc(ncc1)NCc2ncccc2C)cc3)C(=O)O)CC,75.68,6.7883697,0.072785765,0.9481784,-17.81,0.9502408,6.450586,84.78,-8.78187
ZINC72481077,O(c3c(cc(c1nc(ncc1)NCc2ncccc2C)cc3)C(=O)O)CC,-1.0,6.799489,0.083528765,1.0263113,-20.27,0.94760686,6.4432425,84.78,-8.82365
ZINC72168947,n1(ncc4c1ccc(c3c2c([nH]cc2)nc(NCCN(C)C)c3)c4)C,-1.0,7.026231,0.06055832,0.8423927,-15.72,0.9909701,6.9627843,76.93,-9.93492
ZINC72383434,s1c(ncc1)Nc2ncnc(c2)CC3CN(S(=O)(=O)C)CCC3,76.67,6.5943084,0.0798064,0.88460314,-9.93,0.82629824,5.4488654,76.91,-6.67434
ZINC36693910,S(=O)(=O)(c2ccc(c1oc(nn1)NC(=O)C(C)C)cc2)CC,86.17,5.7959104,0.08678898,0.95308256,-12.19,0.5917498,3.4297287,76.9,-7.27678
ZINC72123848,n1nnc([nH]1)c5ccc(c4c2c([nH]cc2)nc(NCc3cnccc3)c4)cc5,86.1,7.442745,0.29372373,0.99244314,0.72,0.9944333,7.401314,76.82,-10.57317
ZINC09814052,S(=O)(=O)(c2ccc(c1oc(nn1)NC(=O)C(C)C)cc2)C(C)C,86.17,5.871485,0.14645524,0.95308256,-7.98,0.54554194,3.2031415,76.81,-6.55802
ZINC94986176,s3c1n(nc(n1)NC(=O)C2CC2)c(c3)c4ccc(N(=O)O)cc4,-1.0,6.4087043,0.05966694,1.1377147,-10.43,0.9245449,5.9251347,76.75,-8.73967
ZINC72377474,O=C(N3CC(c1nc(ncc1)Nc2ncccc2)CCC3)C,76.65,6.388464,0.121770635,0.87720704,-15.33,0.7547759,4.8218584,76.7,-8.20075
ZINC36693875,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(cc2)C(=O)C)cc3)CC,86.05,6.204876,0.7182324,0.992846,-4.29,0.65541637,4.066777,76.67,5.62436
ZINC72377475,O=C(N3CC(c1nc(ncc1)Nc2ncccc2)CCC3)C,76.57,6.4485106,0.086519316,0.95955974,-20.1,0.7742619,4.992836,76.66,-7.97418
ZINC36693874,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2ccc(cc2)C#N)cc3)CC,86.02,5.925964,0.082822636,0.9916844,-6.26,0.6213749,3.6822453,76.64,-7.86504
ZINC72154000,n1nnc([nH]1)c5ccc(c4c2c([nH]cc2)nc(NCc3ncccc3)c4)cc5,-1.0,7.515344,0.30926287,0.9868529,-7.02,0.99594486,7.4848685,76.64,-10.53923
ZINC72123848,n1nnc([nH]1)c5ccc(c4c2c([nH]cc2)nc(NCc3cnccc3)c4)cc5,-1.0,7.446247,0.29388943,0.9899413,-13.54,0.99456984,7.4058127,76.64,-10.60189
ZINC05240672,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2c(cc(cc2)C)C)cc3)C,-1.0,6.0139527,0.14043091,0.9231136,-11.17,0.6994039,4.206182,76.59,-8.146
ZINC05240628,S(=O)(=O)(c3ccc(c1oc(nn1)NC(=O)c2c(cccc2)C)cc3)C,-1.0,5.9890227,0.13082677,0.92298687,-9.59,0.7218721,4.3233085,76.59,-8.09459
ZINC10157165,Clc4ccc(n1[nH]c2nccc(c2c1=O)c3ccc(OC)cc3)cc4,65.91,6.461856,0.108647786,0.9668276,-22.26,0.92123336,5.952877,76.59,-9.15814
ZINC09814060,S(=O)(=O)(c2ccc(c1oc(nn1)NC(=O)C(C)(C)C)cc2)C(C)C,86.03,5.7544746,0.08009975,0.9921071,-8.24,0.49973452,2.8757095,76.59,-6.80666
ZINC36693912,S(=O)(=O)(c2ccc(c1oc(nn1)NC(=O)C(C)(C)C)cc2)CC,86.03,5.9860687,0.05029083,0.99194646,-7.86,0.62031287,3.7132354,76.59,-7.95678
ZINC10157185,O=c1n([nH]c2nccc(c12)c4cc3OCOc3cc4)c5cc(c(cc5)C)C,55.5,6.607029,0.23449412,1.1331544,-32.97,0.94618756,6.2514887,76.58,-9.64083
ZINC02918161,Clc1ccc(cc1)C4Nc2n(nnn2)C(c3ccc(OC(F)F)cc3)C4,76.43,6.7832527,0.21421798,0.93617487,-6.24,0.78471303,5.322907,76.55,-9.0501
ZINC15866274,FC(F)Oc1ccc(cc1)C4n2nnnc2NC(c3ccc(cc3)C)C4,76.43,6.7458115,0.21290977,0.9360718,-5.12,0.8295668,5.5961013,76.55,-9.06047
ZINC10157178,O=c1n([nH]c2nccc(c12)c4cc3OCOc3cc4)c5cc(ccc5)C,55.5,6.7217293,0.20225696,1.1350076,-33.87,0.95921284,6.447569,76.55,-10.18558
ZINC01351334,O(c4ccc(c3nc1n(ncn1)c(NCC2CCCCC2)c3)cc4)C,66.3,7.17826,0.08944882,0.86808836,-14.7,0.9580398,6.877059,76.55,-8.72594
ZINC10157183,O=c1n([nH]c2nccc(c12)c3cc(OC)c(OC)cc3)c4cc(c(cc4)C)C,65.95,6.780589,0.20842043,0.9677182,-23.75,0.9500189,6.4416876,76.54,-9.63197
ZINC09707669,Clc1sc(Cl)cc1C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,-1.0,5.9047804,0.24153945,0.93739563,-13.5,0.5301709,3.1305428,76.53,-9.27623
ZINC36693294,Brc1cc(c(Cl)cc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,-1.0,6.2726426,0.14215294,0.9368077,-14.84,0.6219212,3.9010892,76.52,-8.32346
ZINC09346746,Clc1c(ccc(Cl)c1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,-1.0,6.184495,0.16269243,0.93688464,-13.03,0.62985694,3.895347,76.52,-8.17117
ZINC09346755,Clc1c(cc(Cl)cc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,-1.0,6.2835093,0.1441445,0.93680817,-14.23,0.6535334,4.106483,76.52,-8.2655
ZINC05240586,Clc1c(cccc1)C(=O)Nc2oc(nn2)c3ccc(S(=O)(=O)C)cc3,-1.0,6.112361,0.13948531,0.9368026,-12.69,0.73179996,4.4730253,76.52,-8.0808
ZINC06941524,FC(F)Oc1ccc(cc1)C4n2nnnc2NC(c3ccccc3)C4,76.39,6.592112,0.20898025,0.93606746,-6.62,0.83095574,5.477753,76.52,-8.92648
